,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages
0,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1492,19910411,Prestations familiales,2005-03-10T12:07:49Z,,Antrag der Minderheit (Scherer),Antrag der Mehrheit,1902,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
1,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1503,19910411,Prestations familiales,2005-03-15T09:19:29Z,,Antrag der Minderheit III (Rossini),Antrag der Minderheit IV (Fasel),1917,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
2,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1504,19910411,Prestations familiales,2005-03-15T09:20:40Z,,Antrag der Minderheit II (Triponez),Antrag der Minderheit  IV (Fasel),1918,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
3,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1505,19910411,Prestations familiales,2005-03-15T09:21:42Z,,Antrag der Minderheit I (Scherer Marcel),Antrag der Minderheit II (Triponez),1919,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
4,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1506,19910411,Prestations familiales,2005-03-15T09:22:43Z,,Antrag der Minderheit II (Triponez),Antrag der Mehrheit,1920,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
5,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1507,19910411,Prestations familiales,2005-03-15T09:23:49Z,,Antrag der Minderheit III (Rossini),Antrag der Minderheit IV (Fasel),1921,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
6,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1508,19910411,Prestations familiales,2005-03-15T09:25:19Z,,Antrag der Minderheit II (Triponez),Antrag der Minderheit III (Rossini) ,1922,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
7,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1509,19910411,Prestations familiales,2005-03-15T09:26:19Z,,Antrag der Minderheit I (Scherer Marcel),Antrag der Minderheit II (Triponez),1923,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
8,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1510,19910411,Prestations familiales,2005-03-15T09:27:19Z,,Antrag der Minderheit II (Triponez),Antrag der Mehrheit,1924,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
9,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1511,19910411,Prestations familiales,2005-03-15T09:28:25Z,,Antrag der Minderheit V Gysin Hans Rudolf,Antrag der Mehrheit,1925,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
10,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1518,19910411,Prestations familiales,2005-11-29T08:57:54Z,,Antrag der Minderheit (Scherer),Antrag der Mehrheit,1933,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
11,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1519,19910411,Prestations familiales,2005-03-15T11:05:41Z,,,,1934,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
12,2501,2022-02-25T11:26:10Z,255,Claude,Janiak,1520,19910411,Prestations familiales,2005-03-15T11:02:29Z,,,,1935,"Loi fédérale sur les allocations familiales (Loi sur les allocations familiales, LAFam)",
