,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages
0,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6767,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:27:26Z,Classement,Proposition de la minorité Chevrier (ne pas classer),Proposition de la majorité (classer),3027,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
1,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6768,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:33:19Z,"Art. 13, al. 2",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,3028,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
2,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6769,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:34:37Z,Vote sur l'ensemble,,,3029,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
3,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,8687,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2010-12-17T10:01:09Z,Vote final,,,4947,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,
4,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,9678,20000436,Prestations complémentaires pour des familles. Modèle tessinois,2011-06-17T09:44:34Z,00.436 et 00.437,Proposition de la minorité Robbiani (ne pas classes les iv.pa. et prolonger le délai),Proposition de la majorité (classer les iv.pa.),5938,,
5,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4215,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:51:48Z,Vote final,,,468,Arrêté fédéral portant approbation de la Convention sur les droits de l'Homme et la biomédecine,
6,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4216,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:52:53Z,,,,469,Arrêté fédéral portant approbation du Protocole additionnel à la Convention sur les droits de l'Homme et la biomédecine portant interdiction du clonage d'êtres humains,
7,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7214,20010083,Convention alpine. Protocoles de mise en oeuvre,2009-12-11T09:43:38Z,,Antrag der Minderheit Cathomas (Eintreten),Antrag der Mehrheit (Nichteintreten),3474,Arrêté fédéral concernant la ratification des protocoles de la Convention sur la protection des Alpes (Convention alpine),
8,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,8330,20010083,Convention alpine. Protocoles de mise en oeuvre,2010-09-29T12:58:01Z,,Antrag der Minderheit Cathomas (Eintreten),Antrag der Mehrheit (Nichteintreten),4590,Arrêté fédéral concernant la ratification des protocoles de la Convention sur la protection des Alpes (Convention alpine),
9,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6328,20010461,Commission fédérale des droits de l'homme,2009-06-12T10:00:15Z,,Proposition de la minorité Joder (classer),Proposition de la majorité (proroger d'un an le délai),2588,,
10,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,8398,20020308,Amnistie fiscale générale,2010-10-01T08:41:43Z,,Antrag der Minderheit Kaufmann (Verlängerung der Behandlungsfrist um 2 Kahre),Antrag der Mehrheit (Abschreibung der Initiativen),4658,,
11,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7175,20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10T11:48:10Z,,Antrag der Minderheit Schwander,Antrag der Mehrheit,3435,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
12,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7176,20020440,LP. Limiter le privilège des créances accordé aux salariés,2009-12-10T11:49:03Z,Vote sur l'ensemble,,,3436,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
13,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7990,20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18T09:27:59Z,,,,4250,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
14,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,8022,20020440,LP. Limiter le privilège des créances accordé aux salariés,2010-06-18T09:29:17Z,,,,4282,Loi fédérale sur la poursuite pour dettes et la faillite (LP),
15,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5786,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T16:46:36Z,Entrer en matière,Proposition de la minorité Rutschmann (ne pas entrer en matière),Proposition de la majorité (entrer en matière),2046,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
16,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5787,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T16:54:16Z,"Art. 10, al. 1bis, let. b",Proposition Kunz,Proposition de la commission,2047,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
17,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5788,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T17:09:06Z,"Art. 10, al. 1quater",Proposition de la minorité Leutengger Filippo,Proposition de la majorité,2048,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
18,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5790,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T17:25:22Z,"Art. 10, al. 1quinquies",Proposition de la minorité Amstutz,Proposition de la majorité,2050,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
19,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5791,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T17:29:42Z,"Art. 257a, al. 3",Proposition de la minorité Bäumle,Proposition de la majorité,2051,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
20,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5792,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-03-19T17:30:40Z,Vote sur l'ensemble,,,2052,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
21,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6103,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-06-02T18:01:15Z,"Art. 10, al. 1quater (vaut également pour l'art. 15bis)",Proposition de la minorité Rutschmann,Proposition de la majorité,2363,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
22,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6329,20020473,Loi sur le CO2. Incitation à prendre des mesures d'économie d'énergie dans le bâtiment,2009-06-12T10:23:30Z,Vote final,,,2589,Loi fédérale sur la réduction des émissions de CO2 (Loi sur le CO2) (Mesures incitatives visant à encourager les économies d'énergie dans le bâtiment),
23,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,9604,20023126,Conditions de travail des chauffeurs de poids-lourds,2011-06-15T10:33:10Z,,Proposition de la minorité Graf-Litscher (ne pas classer),Proposition de la majorité et du CF (classer),5864,,
24,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4249,20030317,Procédure de naturalisation,2008-03-20T11:01:46Z,Motion d'ordre Föhn (renvoyer l'objet),,,506,,
25,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4251,20030317,Procédure de naturalisation,2008-03-20T11:03:10Z,,Propositon Föhn (donner suite),Proposition de la commission (ne pas donner suite),508,,
26,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5060,20030406,Amnistie fiscale générale,2008-10-03T10:12:09Z,03.406 (concerne également 02.308),Proposition de la minorité Kaufmann (prolongation du délai),Proposition de la majorité (classer),1320,,
27,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5512,20030411,Lever l'interdiction des courses de formule 1,2009-03-05T10:14:46Z,Entrer en matière,Proposition de la minorité Teuscher (ne pas entrer en matière),Proposition de la majorité (maintenir),1772,Loi fédérale sur la circulation routière (LCR),
28,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5659,20030428,Nom et droit de cité des époux. Egalité,2009-03-11T10:55:34Z,Entrer en matière,Proposition de la minorité Schwander (ne pas entrer en matière),Proposition de la majorité (entrer en matière),1919,Code civil (Nom et droit de cité),
29,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,5660,20030428,Nom et droit de cité des époux. Egalité,2009-03-11T10:56:43Z,Proposition de renvoi,Proposition de la minorité Reimann Lukas (renvoyer à la commission),Proposition de la majorité (ne pas renvoyer à la commission),1920,Code civil (Nom et droit de cité),
30,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7177,20030428,Nom et droit de cité des époux. Egalité,2009-12-10T12:13:26Z,,Antrag der Minderheit Leutenegger Oberholzer (=Rückweisung an die Kommission),Antrag der Mehrheit,3437,Code civil (Nom et droit de cité),
31,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7178,20030428,Nom et droit de cité des époux. Egalité,2009-12-10T12:15:01Z,,Ablehnung des Antrages,Zustimmung zum Antrag Gadient,3438,Code civil (Nom et droit de cité),
32,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7179,20030428,Nom et droit de cité des époux. Egalité,2009-12-10T12:15:56Z,Vote sur l'ensemble,,,3439,Code civil (Nom et droit de cité),
33,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,10165,20030428,Nom et droit de cité des époux. Egalité,2011-09-28T18:08:27Z,"Art. 160, al. 2bis",Proposition Lüscher,Proposition de la commission,6425,Code civil (Nom et droit de cité),
34,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,10166,20030428,Nom et droit de cité des époux. Egalité,2011-09-28T18:09:34Z,"Art. 270, al. 1 et 2, art. 271",Proposition Lüscher,Proposition de la commission,6426,Code civil (Nom et droit de cité),
35,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,10167,20030428,Nom et droit de cité des époux. Egalité,2011-09-28T18:10:34Z,Concept de la majorité vs. concept de la minorité,Proposition de la minorité Nidegger,Proposition de la majorité,6427,Code civil (Nom et droit de cité),
36,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,10227,20030428,Nom et droit de cité des époux. Egalité,2011-09-30T10:01:43Z,Vote final,,,6487,Code civil (Nom et droit de cité),
37,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6856,20030436,Pour des campagnes de votation équitables,2009-11-24T09:07:54Z,,Antrag der Minderheit Joder (Nichteintreten),Antrag der Mehrheit (Eintreten),3116,Loi fédérale précisant le rôle des partis politiques dans la formation de l'opinion et de la volonté populaire,
38,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4047,20030454,Loi sur la nationalité. Modification,2007-12-21T08:23:06Z,Vote final,,,237,"Loi fédérale sur l'acquisition et la perte de la nationalité suisse (Loi sur la nationalité, LN) (Procédure cantonale/Recours devant un tribunal cantonal)",
39,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4048,20030463,Ouverture sans restriction des magasins un nombre limité de dimanches*,2007-12-21T08:24:15Z,Vote final,,,238,"Loi fédérale sur le travail dans l'industrie, l'artisanat et le commerce (Loi sur le travail)",
40,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,6070,20033302,Maladie coeliaque. Combler les lacunes de la prise en charge,2009-05-28T08:04:17Z,,Proposition du Conseil fédéral (classer le postulat),Proposition de la commission (ne pas classer le postulat),2330,,
41,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4499,20040032,Loi sur l'assurance-maladie. Révision partielle. Liberté de contracter,2008-06-04T08:51:24Z,Vote sur l'ensemble,,,759,Loi fédérale sur l'assurance-maladie (LAMal) (Admission selon le besoin),
42,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4585,20040032,Loi sur l'assurance-maladie. Révision partielle. Liberté de contracter,2008-06-11T10:26:47Z,"Chiff. II, al. 1 (clause d'urgence)",Rejeter la clause d'urgance,Approuver la clause d'urgence,845,Loi fédérale sur l'assurance-maladie (LAMal) (Admission selon le besoin),
43,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4635,20040032,Loi sur l'assurance-maladie. Révision partielle. Liberté de contracter,2008-06-13T10:30:41Z,Vote final,,,895,Loi fédérale sur l'assurance-maladie (LAMal) (Admission selon le besoin),
44,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4049,20040061,Loi sur l'assurance-maladie. Révision partielle. Financement hospitalier,2007-12-21T08:28:09Z,Vote final,,,239,Loi fédérale sur l'assurance-maladie (LAMal)  (Financement hospitalier),
45,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,4050,20040061,Loi sur l'assurance-maladie. Révision partielle. Financement hospitalier,2007-12-21T08:29:07Z,Vote final,,,240,Loi fédérale sur l'assurance-maladie (compensation des risques) (Projet de la Commission de la sécurité sociale et de la santé publique du Conseil des Etats),
46,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,3889,20040062,Loi sur l'assurance-maladie. Révision partielle. Managed-Care,2007-12-04T11:44:14Z,Vote sur l'ensemble,,,33,Loi fédérale sur l'assurance-maladie (LAMal) (Prix des médicaments),
47,2674,2022-02-25T11:26:05Z,155,Pirmin,Bischof,7941,20040062,Loi sur l'assurance-maladie. Révision partielle. Managed-Care,2010-06-16T10:53:49Z,,Antrag Barthassat,Antrag Prelicz-Huber,4201,Loi fédérale sur l'assurance-maladie (LAMal) (Réseaux de soins),
